filename,text
cs/default/c46f96.wav,"Tažená smyčka. Nahoru dvoubod, na výletu dva z osmibodu a čtvrtka proti."
cs/default/a9baf6.wav,"Smyčka. Dvě čtvrtky do jeden a půl taženého nahoru, jeden a čtvrt dolů. Výlet normál."
cs/default/7a72d8.wav,"Tažená smyčka. Nahoru dvoubod, na výletu dva z osmibodu a půlka proti."
cs/default/5ab88c.wav,Překrut. Půlka na výletu.
cs/default/d674a2.wav,"Překrut. Na vstupu tři z dvoubodu, tažený kop na výletu."
cs/default/df36d6.wav,"Překrut. Vstup jeden a třičtvrtě do třičtvrtě taženého proti, tlač do horní, výstup jeden tam a jeden zpět normálně."
cs/default/7c31f1.wav,"Překrut. Na vstupu čtyři z dvoubodu, na výletu půl kopu proti směru."
cs/default/5e8b19.wav,Překrut. Půlka na výletu.
cs/default/8b6d37.wav,"Překrut. Tažený kop na vstupu, půlka na výletu."
cs/default/f1699d.wav,"Tažená smyčka na zádech. Třičtvrtě taženého kopu a proti třičtvrtě na vstupu, na výletu jeden a půl taženého kopu."
cs/default/4d71fc.wav,"Tažená smyčka na zádech. Dva ze čtyřbodu a stejný směr tažený kop na vstupu, na výletu jeden a půl kopu proti směru."
cs/default/e32c7d.wav,"Obrácená smyčka pětačtyřicet. Dolů s celým, tahej pětačtyřicet nahoru, a dvě půlky."
cs/default/7b2e8a.wav,Tažená smyčka na zádech. Půlka na výletu.
cs/default/3a61a0.wav,"Super S. Dvě půlky na vstupu, tlač, nahoru třičtvrtě tlačeného, čtvrtka stejně, táhni, čtyřbod na výstupu normálně."
cs/default/0a0edd.wav,"Přemet. Tlač, integruj tři čtvrtky a jednu proti do tahu. Výlet normál."
cs/default/6b79fc.wav,Přemet. Nahoře integruj jeden a půl taženého kopu.
cs/default/12a635.wav,Přemet. Nahoře integruj čtyři z osmibodu. Výlet záda.
cs/default/ceaecb.wav,Přemet.
cs/default/646afc.wav,Přemet. Nahoře integruj celý.
cs/default/d9f044.wav,Přemet. Třičtvrtě a stejný směr nahoře integruj jeden a čtvrt kopu proti. Výlet záda.
cs/default/ded186.wav,"P lup. Čtyři půlky na vstupu, táhni tři čtvrtě přemetu, čtvrtka, táhni na výlet kolmo normál."
cs/default/4003b7.wav,"P lup. Jeden a čtvrt a proti dva z osmibodu na vstupu, nahoře integruj čtyřbod, na výletu třičtvrtě tlačeného kopu. Výlet záda napříč."
cs/default/65160a.wav,"P lup. Jeden a čtvrt a proti dva z osmibodu na vstupu, nahoře integruj čtyřbod, na výletu třičtvrtě tlačeného kopu a třičtvrtě proti. Výlet záda."
cs/default/8b308b.wav,Q lup. Nahoře integruj tažený kop.
cs/default/f10f90.wav,Q lup. Nahoře integruj výkrut. Výlet pětačtyřicet v dolní.
cs/default/488b35.wav,"Q Loop. Táhni pětačtyřicet se čtyřma osminama, tlač přemet s negativním kopem nahoře, půlka na výletu normál."
cs/default/699fed.wav,Reset Advanced alternativní.
cs/default/7ccc94.wav,Reset Advanced.
cs/default/2f7cd5.wav,Reset Basic.
cs/default/8f43d3.wav,Reset Inter alternativní.
cs/default/53ec08.wav,Reset Inter.
cs/default/4afef4.wav,Reset Sportsman.
cs/default/5aefed.wav,Reset Unlimited alternativní.
cs/default/379bd7.wav,Reset Unlimited.
cs/default/14f100.wav,"Obrácená Kuba. Půlka a stejný směr tažený kop na vstupu, na výletu jeden a půl."
cs/default/9a82e1.wav,Obrácená Kuba. Půlka v pětačtyřiceti nahoru.
cs/default/aa2c94.wav,"Šikmá smyčka zezadu. Tlač stopětařicet, nahoru jeden a půl taženého a jeden a půl proti, tlač, dvoubod dolů. Výlet záda."
cs/default/16e65f.wav,"Obrácená šikmá tlačená smyčka. Táhni stopětatřicet, jeden a půl nahoru, zatlač do pětačtyřiceti a dvě půlky. Výlet záda ve spodní."
cs/default/dd2954.wav,Obrácený zub. V 45 nahoru celý.
cs/default/3d4bae.wav,Obrácený zub. Půlka na vstupu.
cs/default/43475d.wav,"Obrácený přemet. Na vstupu jeden a půl, nahoře tažený kop, na výletu čtyřbod. Výlet záda."
cs/default/a7191c.wav,"Obrácený přemet. Tažený kop na vstupu, na výletu čtyři z osmibodu."
cs/default/e673a1.wav,Výkrut.
cs/default/ffe578.wav,"Zub. Jeden a čtvrt taženého kopu a proti čtvrtka nahoru, třičtvrtě kopu proti a stejný směr čtvrtka dolů."
cs/default/aa00eb.wav,"Zub. Jeden a čtvrt do nože, čtvrt proti, dolů dvě čtvrtky, výlet normál a Out."
cs/default/c6f15a.wav,"Zub. V pětačtyřiceti šest osmin do nože, třičtvtě taženého stejně na záda, dolů tři čtvrtky a proti třičtvrtě."
cs/default/a1b162.wav,Vývrtka normál. Jeden a půl do prostoru.
cs/default/7cbea2.wav,"Vývrtka. Jedna a půl tažená, proti jeden a třičtvrtě tlačeného kopu, výlet normál kolmo."
cs/default/0c04fe.wav,"Vývrtka. Jedna a půl tažené vývrtky, dvě čtvrtky proti. Zatlač na záda."
cs/default/bb208c.wav,"Vývrtka na zádech. Jeden a tři čtvrtě do prostoru, dvě osminy stejný směr. Výlet normál."
cs/default/123c53.wav,Vývrtka normál. Dvě do prostoru.
cs/default/6612e8.wav,"Vývrtka s taženou smyčkou. Jeden a půl do prostoru normál, tažený kop na výletu."
cs/default/20f5b2.wav,Zvrat. Půlka na začátku.
cs/default/4b1714.wav,"Překrut. Na vstupu půl, kop na výletu."
cs/default/6151f8.wav,"Půlené S. Jeden a půl kopu proti na vstupu, na výletu osmibod. Výlet záda."
cs/default/0a07d0.wav,"Tear Drop. Nahoru tři čtvrtě tlačeného a čtvrt ve stejném, dolů jeden tažený."
cs/default/e4b390.wav,"Tear Drop. V pětačtyřiceti nahoru dvě osminy, proti jeden a čtvrt výkrut, táhni, dolů celý do tlačeného proti. Výlet záda."
cs/default/662802.wav,"Slza. Nahoru tři ze čtyřbodu a třičtvrtě proti, na výletu třičtvrtě tlačeného kopu. Výlet záda napříč."
cs/default/a7e703.wav,"Tear Drop. V pětačtyřiceti dvě osminy do jednoho a čtvrt nahoru, celý do třičtvrtě tlačeného proti, výlet záda kolmo."
cs/default/341a31.wav,"Slza. Nahoru dvoubod, půlka na výletu."
cs/default/d6995b.wav,Kolmo dolů. Třičtvrtě a čtvrtka proti.
cs/default/db0910.wav,Kolmo dolů. Tři ze čtyřbodu.
cs/default/7bf888.wav,Střemhlav. Čtyři osminy dolů.
cs/default/a87d7e.wav,Kolmo dolů. Výlet normál.
cs/default/6bb17e.wav,Vertikála nahoru s půlkou. Zatlač do výletu.
